Propriétaire du contact,Commercial,Représentant légale,Nom commercial,Numéro de téléphone,Adresse e-mail,ADRESSE,SECTEUR,METIER/Description,SIRET,IDCC,Note à moi même,Conclusion
galmar.commercial@disciplina.re,Brandon,,Cash Converters Saint-Denis,262701701,,"175 Mar Leclerc, 97400 Saint-Denis",Saint Denis,Conseil vente/ negociateur ,83125883500014,,Nombre Maxium de salarié atteint,"ne repond pas le
23/03/2026"
galmar.commercial@disciplina.re,Brandon,,Goldcenter st denis,262458703 / 0262 33 20 00,contact@goldcenter.re,124 rue Mar Leclerc 97400 Saint Denis,Saint-Denis,Conseil vente ,82241395100028,,Retour du responsable le 22/01,Ne repond pas 14/01/2026
galmar.commercial@disciplina.re,Brandon,,Spacetunning Saint-André,262479756,clainisabelle84@gmail.com,"171 rue des metiers,Saint-André 97440",Saint-André,Conseil vente/Negociateur,83939303000037,,Ne repond pas ,"AB + Mandat envoyé,AB transmis aux rh
04/09/2025"
galmar.commercial@disciplina.re,Brandon,,Stock piece autos,262583030,,"85 Av Mahatma Gandhi, Sainte Suzanne 97441 ",Sainte-Suzanne,Conseil Vente,48355195800018,,Fermé congés annuel,Ne repond pas 23/03/2026
galmar.commercial@disciplina.re,Brandon,,Hotel restaurant Matilona,262720043,,"84 Chemin du petit brûlé,97439 Ste Rose",Sainte-Rose,Responsable Etablissment Marchande,94317919200019,,Ne repond pas malgré plusieurs appels,Ne repond pas le 23/03/2026
galmar.commercial@disciplina.re,Brandon,, Artocarpe,0262 21 55 48,,"9 Ruelle Edouard, Saint-denis, St Denis 974000 ",Saint-Denis,Responsable Etablissment Marchande,44867708800032,,Ne repond pas,NE REPOND PAS14/01/2026
galmar.commercial@disciplina.re,Brandon,,effet pei,262200863,,"Rue Michel-Ange 47, Sainte-Marie, RE 97438",Sainte-Marie,Responsable Etablissment Marchande,51781987600015,,A rappeler Mardi 13/01/2026,Prise de contact le 13/01/2026
galmar.commercial@disciplina.re,Brandon,,Wein Location,262252252,drh@weinlocation.com,"5 rue Amiral Bouvet,97470,Saint-Benoit",Saint-Benoit,Negociateur technico commercial,51186652700019,,Ne s'occupe pas des candidature,Mail envoyé à leurs services rh le 12/01/2026
galmar.commercial@disciplina.re,Brandon,,OTO piéces auto ,262463408,,"1 rue des Dahlias, ZI, 97470, La Réunion",Saint-Benoit,Conseil vente,81874769300013,,Le patron ne repond pas makgré plusieur appels,Ne repond pas le 23/03/2026
galmar.commercial@disciplina.re,Brandon,,Hotel exsel creolia,262942626,assitant-rh@exsel.re,"14 Rue du stade,97400 Saint-Denis",Saint-Denis,Responsable Etablissment Marchande,40318022700023,,Ne s'occupe pas des candidature,Prise de contact le 01/04/2026
galmar.commercial@disciplina.re,Brandon,,Agence du soleil,262212181,contact@ai-soleil.org,1 AVENUE PIERRE MENDES-FRANCE RES MASCARINES-APPT 207,Saint-Denis,Negociateur technico commercial,43334094000017,,Ne recherche qu'a partir de l'année prochaine,"Prise de contact le 25/03/2026, a rappeler le 26"
galmar.commercial@disciplina.re,Brandon,,CBO territoria,262203204,drh@cboterritoria;com,,,,,,,ARAPPELER AU PLUS VITE
galmar.commercial@disciplina.re,Brandon,,Shiso Burger ,262 262 51 49 85,anthony@botanfood.com,14 Rue du General de Gaulle,Saint-Denis,Responsable Etablissemnt Marchand,89917475900014,,"Entretien concluant,ab + mandat envoyé",AB pré rempli envoyé a la RH
galmar.commercial@disciplina.re,Brandon,,Promo est immobilier,262502402,contact@premium.fr,"173 B N 2 BOURBIER LES BAS, 97437 SAINT-BENOIT",Saint-Benoit,Negociateur technico commercial,35155645100067,,Ne repond pas,Ne repond pas 23/03/2026
galmar.commercial@disciplina.re,Brandon,,Laced shop st denis,262985027,contactlacedrun@gmail.com,29 RUE LABOURDONNAIS 97400 SAINT-DENIS,Saint-Denis,Conseil Vente,83212697300029,,Entreprise complet pour l'instant,Ne repond pas 11/02/2026
galmar.commercial@disciplina.re,Brandon,,Actuel Saint-André,262232569,,CENTRE CCIAL ST ANDRE COEUR DE VILLE 200 RUE DU LYCEE 97440 SAINT-ANDRE,Saint-Andre,Conseil Vente,262232569,,Appeler celui de st paul: 0262746669,"Prend mes coordonés,voit avec le sresponsables et revient vers moi le 14/01/2026"
galmar.commercial@disciplina.re,Brandon,,Vogue Saint-Benoit,262419549  Siege: 0262 43 64 63,boyer.fabien@hotmail.com,14 RUE LOUIS BRUNET 97470 SAINT-BENOIT,Saint-Benoit,Conseil Vente,41428146900117,,Pense à recruter des alternant dans un mois,Non le 23/03/2026
galmar.commercial@disciplina.re,Brandon,,Ravate Butor,262904050,www.ravate.re,377 RUE DU MARECHAL LECLERC 97400 SAINT-DENIS,Saint-Denis,Conseil Vente,31388646700056,,Ne s'occuper pas des candidature,"Envoyer Catalogue ""prise de contact"" "
galmar.commercial@disciplina.re,Brandon,,Courir Ste-Marie,692709397,,LOT N 4 CENTRE COMMECIAL DUPARC 97438 SAINTE-MARIE,Sainte-Marie,Conseil Vente,38286930300174,,est deja accompagné d'un centre de formation,Oui LE 14/01/2026
galmar.commercial@disciplina.re,Brandon,,Office du tourisme,261418300,info@lebeaupays.com,"14 RUE DE PARIS, 97400 SAINT-DENIS France",Saint-Denis,Negociateur technico commercial,98923231900016,,Ne repond pas,Oui LE 14/01/2026
galmar.commercial@disciplina.re,Brandon,,Flash location st denis,262298684,0693 67 60 82 ,"Ste Clotilde 79 r Léopold Rambaud, 97490 Saint Denis ",Saint-Denis,Negoctiateur technico commercial,32469560000076,,A deja un centre de formatuon ,Effectif au complet 14 / 01/ 2026
galmar.commercial@disciplina.re,Brandon,,Permis Academy 974,693636977,permis.academy974@gmail.com,"69 RUE DU GENERAL DE GAULLE, 97400 SAINT-DENIS",Saint-Denis,Assistante de direction,88463083100011,,accepte les contrat d'apprentissage,A deja recruté une apprentie 14/01/2026
galmar.commercial@disciplina.re,Brandon,,Auto ecole Europe,262203224,,"39 B RUE BOUVET, 97400 SAINT DENIS",SAINT DENIS,Assistante de direction,49066681500017,,Fermé definitivement,Non definitif
galmar.commercial@disciplina.re,Brandon,, SHLMR,262401000 0693310924 JERSEY TURPIN 0262 47 75 80,drh@shlmr.fr,"31 RUE LEON DIERX, 97400 SAINT-DENIS",Saint-Denis,Assistante de direction,31089517200016,,Contacter la rh paar mail,Prise de contact et catalogue envoyé aux rh
galmar.commercial@disciplina.re,Brandon,,Run invest immobilier,262206399,runinvest@gmail.com,"1123 AVENUE DE BOURBON, 97440 SAINT-ANDRE",Saint-Andre,Assistante de direction,80808435400030,,Contacter la rh paar mail,Prise de contact et catalogue envoyé aux rh le 14/01/2026
galmar.commercial@disciplina.re,Brandon,,Auto-Ecole Rapide,262464183,auto-ecole-rapide@orange.fr,"951 AVENUE DES MASCAREIGNES, 97440 SAINT-ANDRE",Saint-Andre,Assistante de direction,42987621200011,,Contacter la rh paar mail,A RAPPELER PLUS TARD LE 14/01/2026
galmar.commercial@disciplina.re,Brandon,,Saint hubert immobiler,692778326,,"07 Rue de la Colline, Saint-Denis 97400, La Réunion",Saint-Denis ,Negociateur technico commercial,83143815500028,, NON,Non definitif le 14/01/26
galmar.commercial@disciplina.re,Brandon,,O bar,262525788,,"34 RUE DE LA COMPAGNIE, 97400 SAINT-DENIS",Saint-Denis,Responsable Etablissemnt Marchand,50414026000028,,est deja accompagné d'un centre de formation,Non definitif
galmar.commercial@disciplina.re,Brandon,,Vergoz Immo ,262735768,,"6 IMPASSE FERDINAND, 97400 SAINT-DENIS France",Saint-Denis,Negociateur technico commercial,79260047000027,,Ne repond pas,Ne repond pas le 23/03/2025
galmar.commercial@disciplina.re,Brandon,,Original Shop,262468631,stdenis@the-original-shop.com,"52 r Jean Chatel, 97400 Saint Denis",Saint-Denis,Conseil Vente,79383386400069,,Recrute en Contra d'Apprentissage,ne rpd pas le 14/01/2026
galmar.commercial@disciplina.re,Brandon,,EAM les cascavelles ,262731190,,"91 r A de Peindray D'Ambelle, 97431 la Plaine des Palmistes ·",Plaine des Palmistes,Assistante de direction,77555989100186,,,
galmar.commercial@disciplina.re,Brandon,,SO HYPE ST DENIS,0262 80 01 78,,"51 Rue Jean Chatel, Saint-Denis 97400, La Réunion",Saint-Denis,Conseil Vente,79030259000100,,"Ne recherche pas d'apprenti,entreprise trop petite",Non définitif LE 14/01/2026
galmar.commercial@disciplina.re,Brandon,,VIB'S STE MARIE,262850135,contact@groupesafa.com,"14 rue du général de gaulle, Centre Commercial E.Leclerc La Réserve, Sainte-Marie 97438, La Réunion",Sainte-Marie,Conseil Vente,88369600700029,,Ne recherche pas d'apprenti pour l'instant mais pourrait etre intéréssé,Prise de contact le 23/03/2026
galmar.commercial@disciplina.re,Brandon,,OKAIDI ST DENIS,03 28 33 99 33,,"40 Rue du Maréchal Leclerc, Saint-Denis 97400, La Réunion",Saint-Denis,Conseil Vente,38799424700618,,,
galmar.commercial@disciplina.re,Brandon,, JENNYFER SAINTE-SUZANNE,0262 92 26 99,,"CTRE CCIAL CARREFOUR-LOCAL 31 QUARTIER FRANCAIS 97441 SAINTE-SUZANNE",Sainte-Suzanne,Conseil Vente,38799424700212,,,Ne PEUT PAS ACCEDER A CE SERVICE LE 23/03/2026
galmar.commercial@disciplina.re,Brandon,,CELIO LA RESERVE,262937800,,CENTRE COMMERCIAL E LECLERC LA RESERVE 14 RUE DU GENERAL DE GAULLE 97438 SAINTE-MARIE,Sainte- Marie,Conseil Vente,31087939000105,,Fermé définitivement,non definitif
galmar.commercial@disciplina.re,Brandon,,AUTO ECOLE NARASSAPANAIK,0262 51 61 34,nara.luders@wanadoo.fr,"SHLMR COEUR DE VILLE BAT A LOCAL 3, ALLEE JEAN ALBANY, 97412 BRAS-PANON",Bras Panon,Assistante de direction,35024361400020,,Veut voir les cv et serait intéréssé si les cv sont intéressant,Pas de charge de travail pour eux 14/1/26
galmar.commercial@disciplina.re,Brandon,,CABINET DENTAIRE DES CAMELIAS,692001170,,BATIMENT I' - CAMELIAS 32 3 B RUE MONSEIGNEUR MONDON 97400 SAINT-DENIS,Saint-Denis,Assitante de direction/Secretaire assistant,89359860700016,,,Non définitif 14/1/2026
